"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Dublin City 02/032";"Total";981;468;513
"Dublin City 02/033";0;7;4;3
"Dublin City 02/033";1;9;5;4
"Dublin City 02/033";2;5;1;4
"Dublin City 02/033";3;9;6;3
"Dublin City 02/033";4;8;4;4
"Dublin City 02/033";5;14;6;8
"Dublin City 02/033";6;9;5;4
"Dublin City 02/033";7;12;3;9
"Dublin City 02/033";8;16;9;7
"Dublin City 02/033";9;13;4;9
"Dublin City 02/033";10;18;5;13
"Dublin City 02/033";11;16;10;6
"Dublin City 02/033";12;10;7;3
"Dublin City 02/033";13;13;7;6
"Dublin City 02/033";14;17;10;7
"Dublin City 02/033";15;16;8;8
"Dublin City 02/033";16;25;8;17
"Dublin City 02/033";17;17;9;8
"Dublin City 02/033";18;17;11;6
"Dublin City 02/033";"19+";795;380;415
"Dublin City 02/033";"Total";1046;502;544
"Dublin City 02/034";0;14;6;8
"Dublin City 02/034";1;8;6;2
"Dublin City 02/034";2;12;5;7
"Dublin City 02/034";3;10;6;4
"Dublin City 02/034";4;15;8;7
"Dublin City 02/034";5;12;5;7
"Dublin City 02/034";6;18;10;8
"Dublin City 02/034";7;23;16;7
"Dublin City 02/034";8;17;5;12
"Dublin City 02/034";9;21;11;10
"Dublin City 02/034";10;22;13;9
"Dublin City 02/034";11;18;7;11
"Dublin City 02/034";12;20;9;11
"Dublin City 02/034";13;24;14;10
"Dublin City 02/034";14;24;13;11
"Dublin City 02/034";15;20;10;10
"Dublin City 02/034";16;16;11;5
"Dublin City 02/034";17;18;10;8
"Dublin City 02/034";18;18;9;9
"Dublin City 02/034";"19+";793;370;423
"Dublin City 02/034";"Total";1123;544;579
"Dublin City 02/035";0;2;1;1
"Dublin City 02/035";1;10;6;4
"Dublin City 02/035";2;7;5;2
"Dublin City 02/035";3;12;8;4
"Dublin City 02/035";4;9;6;3
"Dublin City 02/035";5;10;6;4
"Dublin City 02/035";6;7;5;2
"Dublin City 02/035";7;8;3;5
"Dublin City 02/035";8;10;5;5
"Dublin City 02/035";9;11;8;3
"Dublin City 02/035";10;14;13;1
"Dublin City 02/035";11;15;7;8
"Dublin City 02/035";12;5;4;1
"Dublin City 02/035";13;8;5;3
"Dublin City 02/035";14;12;2;10
"Dublin City 02/035";15;6;3;3
"Dublin City 02/035";16;10;5;5
"Dublin City 02/035";17;11;6;5
"Dublin City 02/035";18;9;3;6
"Dublin City 02/035";"19+";713;342;371
"Dublin City 02/035";"Total";889;443;446
"Dublin City 02/036";0;10;4;6
"Dublin City 02/036";1;11;4;7
"Dublin City 02/036";2;8;4;4
"Dublin City 02/036";3;5;3;2
"Dublin City 02/036";4;8;5;3
"Dublin City 02/036";5;8;2;6
"Dublin City 02/036";6;9;2;7
"Dublin City 02/036";7;13;10;3
"Dublin City 02/036";8;8;7;1
"Dublin City 02/036";9;4;2;2
"Dublin City 02/036";10;6;3;3
"Dublin City 02/036";11;9;3;6
"Dublin City 02/036";12;9;6;3
"Dublin City 02/036";13;8;5;3
"Dublin City 02/036";14;11;6;5
"Dublin City 02/036";15;8;1;7
"Dublin City 02/036";16;11;6;5
"Dublin City 02/036";17;11;4;7
"Dublin City 02/036";18;8;5;3
"Dublin City 02/036";"19+";784;372;412
"Dublin City 02/036";"Total";949;454;495
"Dublin City 02/037";0;29;16;13
"Dublin City 02/037";1;35;12;23
"Dublin City 02/037";2;16;7;9
"Dublin City 02/037";3;26;16;10
"Dublin City 02/037";4;17;11;6
"Dublin City 02/037";5;21;10;11
"Dublin City 02/037";6;23;10;13
"Dublin City 02/037";7;29;15;14
"Dublin City 02/037";8;20;9;11
"Dublin City 02/037";9;31;17;14
"Dublin City 02/037";10;14;7;7
"Dublin City 02/037";11;17;8;9
"Dublin City 02/037";12;32;15;17
"Dublin City 02/037";13;27;10;17
"Dublin City 02/037";14;19;11;8
"Dublin City 02/037";15;19;5;14
"Dublin City 02/037";16;20;10;10
"Dublin City 02/037";17;17;11;6
"Dublin City 02/037";18;20;13;7
"Dublin City 02/037";"19+";807;375;432
"Dublin City 02/037";"Total";1239;588;651
"Dublin City 02/038";0;9;6;3
"Dublin City 02/038";1;16;9;7
"Dublin City 02/038";2;7;4;3
"Dublin City 02/038";3;6;3;3
"Dublin City 02/038";4;11;6;5
"Dublin City 02/038";5;6;3;3
"Dublin City 02/038";6;10;5;5
"Dublin City 02/038";7;14;9;5
"Dublin City 02/038";8;14;10;4
"Dublin City 02/038";9;10;4;6
"Dublin City 02/038";10;12;5;7
"Dublin City 02/038";11;9;3;6
"Dublin City 02/038";12;9;4;5
"Dublin City 02/038";13;11;7;4
"Dublin City 02/038";14;8;7;1
"Dublin City 02/038";15;9;4;5
"Dublin City 02/038";16;11;5;6
"Dublin City 02/038";17;12;6;6
"Dublin City 02/038";18;9;5;4
"Dublin City 02/038";"19+";711;371;340
"Dublin City 02/038";"Total";904;476;428
"Dublin City 02/039";0;15;8;7
"Dublin City 02/039";1;20;7;13
"Dublin City 02/039";2;12;5;7
"Dublin City 02/039";3;19;12;7
"Dublin City 02/039";4;22;15;7
"Dublin City 02/039";5;20;10;10
"Dublin City 02/039";6;22;7;15
"Dublin City 02/039";7;22;13;9
"Dublin City 02/039";8;23;12;11
"Dublin City 02/039";9;13;3;10
"Dublin City 02/039";10;22;10;12
"Dublin City 02/039";11;13;5;8
"Dublin City 02/039";12;11;7;4
"Dublin City 02/039";13;25;16;9
"Dublin City 02/039";14;20;10;10
"Dublin City 02/039";15;22;14;8
"Dublin City 02/039";16;26;19;7
"Dublin City 02/039";17;15;8;7
"Dublin City 02/039";18;19;9;10
"Dublin City 02/039";"19+";751;355;396
"Dublin City 02/039";"Total";1112;545;567
"Dublin City 02/040";0;17;8;9
"Dublin City 02/040";1;18;10;8
"Dublin City 02/040";2;13;7;6
"Dublin City 02/040";3;13;7;6
"Dublin City 02/040";4;16;10;6
"Dublin City 02/040";5;10;3;7
"Dublin City 02/040";6;21;14;7
"Dublin City 02/040";7;12;5;7
"Dublin City 02/040";8;23;11;12
"Dublin City 02/040";9;20;10;10
"Dublin City 02/040";10;16;9;7
"Dublin City 02/040";11;8;4;4
"Dublin City 02/040";12;8;3;5
"Dublin City 02/040";13;15;11;4
"Dublin City 02/040";14;17;9;8
"Dublin City 02/040";15;17;10;7
"Dublin City 02/040";16;15;10;5
"Dublin City 02/040";17;13;6;7
"Dublin City 02/040";18;16;7;9
"Dublin City 02/040";"19+";698;306;392
"Dublin City 02/040";"Total";986;460;526
"Dublin City 02/041";0;11;4;7
"Dublin City 02/041";1;24;10;14
"Dublin City 02/041";2;20;9;11
"Dublin City 02/041";3;12;8;4
"Dublin City 02/041";4;15;7;8
"Dublin City 02/041";5;15;9;6
"Dublin City 02/041";6;14;8;6
"Dublin City 02/041";7;13;10;3
"Dublin City 02/041";8;15;6;9
"Dublin City 02/041";9;13;4;9
"Dublin City 02/041";10;14;7;7
"Dublin City 02/041";11;11;4;7
"Dublin City 02/041";12;12;6;6
"Dublin City 02/041";13;14;5;9
"Dublin City 02/041";14;15;9;6
"Dublin City 02/041";15;13;8;5
"Dublin City 02/041";16;10;7;3
"Dublin City 02/041";17;13;6;7
"Dublin City 02/041";18;17;10;7
"Dublin City 02/041";"19+";659;303;356
"Dublin City 02/041";"Total";930;440;490
"Dublin City 02/042";0;17;10;7
"Dublin City 02/042";1;14;7;7
"Dublin City 02/042";2;19;13;6
"Dublin City 02/042";3;21;9;12
"Dublin City 02/042";4;21;12;9
"Dublin City 02/042";5;18;11;7
"Dublin City 02/042";6;11;10;1
"Dublin City 02/042";7;21;9;12
"Dublin City 02/042";8;22;12;10
"Dublin City 02/042";9;24;12;12
"Dublin City 02/042";10;19;11;8
"Dublin City 02/042";11;12;4;8
"Dublin City 02/042";12;14;8;6
"Dublin City 02/042";13;10;5;5
"Dublin City 02/042";14;13;9;4
"Dublin City 02/042";15;11;5;6
"Dublin City 02/042";16;18;7;11
"Dublin City 02/042";17;21;11;10
"Dublin City 02/042";18;20;9;11
"Dublin City 02/042";"19+";838;405;433
"Dublin City 02/042";"Total";1164;579;585
"Dublin City 02/043";0;29;20;9
"Dublin City 02/043";1;14;8;6
"Dublin City 02/043";2;14;4;10
"Dublin City 02/043";3;20;10;10
"Dublin City 02/043";4;10;7;3
"Dublin City 02/043";5;14;8;6
"Dublin City 02/043";6;18;13;5
"Dublin City 02/043";7;14;10;4
"Dublin City 02/043";8;14;5;9
"Dublin City 02/043";9;19;14;5
"Dublin City 02/043";10;12;7;5
"Dublin City 02/043";11;4;2;2
"Dublin City 02/043";12;15;4;11
"Dublin City 02/043";13;15;8;7
"Dublin City 02/043";14;13;6;7
"Dublin City 02/043";15;11;6;5
"Dublin City 02/043";16;15;7;8
"Dublin City 02/043";17;15;6;9
"Dublin City 02/043";18;13;6;7
"Dublin City 02/043";"19+";743;354;389
"Dublin City 02/043";"Total";1022;505;517
"Dublin City 02/044";0;12;5;7
"Dublin City 02/044";1;8;5;3
"Dublin City 02/044";2;10;4;6
"Dublin City 02/044";3;16;8;8
"Dublin City 02/044";4;4;1;3
"Dublin City 02/044";5;10;6;4
"Dublin City 02/044";6;7;2;5
"Dublin City 02/044";7;13;5;8
"Dublin City 02/044";8;6;3;3
"Dublin City 02/044";9;9;6;3
"Dublin City 02/044";10;10;4;6
"Dublin City 02/044";11;12;6;6
"Dublin City 02/044";12;8;4;4
"Dublin City 02/044";13;10;4;6
"Dublin City 02/044";14;15;9;6
"Dublin City 02/044";15;8;7;1
"Dublin City 02/044";16;20;10;10
"Dublin City 02/044";17;10;7;3
"Dublin City 02/044";18;13;5;8
"Dublin City 02/044";"19+";727;359;368
"Dublin City 02/044";"Total";928;460;468
"Dublin City 02/045";0;5;3;2
"Dublin City 02/045";1;7;2;5
"Dublin City 02/045";2;9;4;5
"Dublin City 02/045";3;8;5;3
"Dublin City 02/045";4;11;7;4
"Dublin City 02/045";5;11;3;8
"Dublin City 02/045";6;14;8;6
"Dublin City 02/045";7;12;7;5
"Dublin City 02/045";8;10;6;4
"Dublin City 02/045";9;6;3;3
"Dublin City 02/045";10;10;5;5
"Dublin City 02/045";11;9;2;7
"Dublin City 02/045";12;10;2;8
"Dublin City 02/045";13;7;5;2
"Dublin City 02/045";14;10;4;6
"Dublin City 02/045";15;14;9;5
"Dublin City 02/045";16;16;5;11
"Dublin City 02/045";17;9;5;4
"Dublin City 02/045";18;20;6;14
"Dublin City 02/045";"19+";587;274;313
"Dublin City 02/045";"Total";785;365;420
"Dublin City 02/046";0;9;4;5
"Dublin City 02/046";1;15;10;5
"Dublin City 02/046";2;9;3;6
"Dublin City 02/046";3;10;6;4
"Dublin City 02/046";4;11;8;3
"Dublin City 02/046";5;6;4;2
"Dublin City 02/046";6;12;6;6
"Dublin City 02/046";7;12;8;4
"Dublin City 02/046";8;15;9;6
"Dublin City 02/046";9;10;6;4
"Dublin City 02/046";10;17;9;8
"Dublin City 02/046";11;7;3;4
"Dublin City 02/046";12;10;5;5
"Dublin City 02/046";13;12;9;3
"Dublin City 02/046";14;15;11;4
"Dublin City 02/046";15;9;6;3
"Dublin City 02/046";16;18;6;12
"Dublin City 02/046";17;13;4;9
"Dublin City 02/046";18;12;7;5
"Dublin City 02/046";"19+";719;345;374
"Dublin City 02/046";"Total";941;469;472
"Dublin City 02/047";0;11;7;4
"Dublin City 02/047";1;9;5;4
"Dublin City 02/047";2;8;2;6
"Dublin City 02/047";3;9;5;4
"Dublin City 02/047";4;7;5;2
"Dublin City 02/047";5;7;1;6
"Dublin City 02/047";6;11;6;5
"Dublin City 02/047";7;10;3;7
"Dublin City 02/047";8;7;4;3
"Dublin City 02/047";9;11;5;6
"Dublin City 02/047";10;16;7;9
"Dublin City 02/047";11;9;6;3
"Dublin City 02/047";12;10;3;7
"Dublin City 02/047";13;12;8;4
"Dublin City 02/047";14;10;9;1
"Dublin City 02/047";15;10;8;2
"Dublin City 02/047";16;17;8;9
"Dublin City 02/047";17;15;10;5
"Dublin City 02/047";18;13;7;6
"Dublin City 02/047";"19+";682;320;362
"Dublin City 02/047";"Total";884;429;455
"Dublin City 02/048";0;4;4;0
"Dublin City 02/048";1;11;5;6
"Dublin City 02/048";2;7;6;1
"Dublin City 02/048";3;13;6;7
"Dublin City 02/048";4;10;6;4
"Dublin City 02/048";5;17;6;11
"Dublin City 02/048";6;11;4;7
"Dublin City 02/048";7;5;2;3
"Dublin City 02/048";8;14;7;7
"Dublin City 02/048";9;16;10;6
"Dublin City 02/048";10;13;6;7
"Dublin City 02/048";11;17;7;10
"Dublin City 02/048";12;4;2;2
"Dublin City 02/048";13;14;6;8
"Dublin City 02/048";14;17;10;7
"Dublin City 02/048";15;13;8;5
"Dublin City 02/048";16;8;7;1
"Dublin City 02/048";17;12;7;5
"Dublin City 02/048";18;19;8;11
"Dublin City 02/048";"19+";717;346;371
"Dublin City 02/048";"Total";942;463;479
"Dublin City 02/049";0;5;3;2
"Dublin City 02/049";1;9;6;3
"Dublin City 02/049";2;10;4;6
"Dublin City 02/049";3;7;5;2
"Dublin City 02/049";4;15;3;12
"Dublin City 02/049";5;14;3;11
"Dublin City 02/049";6;9;5;4
"Dublin City 02/049";7;15;7;8
"Dublin City 02/049";8;18;10;8
"Dublin City 02/049";9;12;8;4
"Dublin City 02/049";10;9;2;7
"Dublin City 02/049";11;14;8;6
"Dublin City 02/049";12;7;3;4
"Dublin City 02/049";13;13;7;6
"Dublin City 02/049";14;13;7;6
"Dublin City 02/049";15;12;5;7
"Dublin City 02/049";16;19;13;6
"Dublin City 02/049";17;18;12;6
"Dublin City 02/049";18;15;7;8
"Dublin City 02/049";"19+";723;338;385
"Dublin City 02/049";"Total";957;456;501
"Dublin City 02/050";0;17;9;8
"Dublin City 02/050";1;15;10;5
"Dublin City 02/050";2;14;10;4
"Dublin City 02/050";3;24;11;13
"Dublin City 02/050";4;19;11;8
"Dublin City 02/050";5;20;13;7
"Dublin City 02/050";6;15;7;8
"Dublin City 02/050";7;20;7;13
"Dublin City 02/050";8;20;12;8
"Dublin City 02/050";9;20;7;13
"Dublin City 02/050";10;19;13;6
"Dublin City 02/050";11;25;14;11
"Dublin City 02/050";12;16;8;8
"Dublin City 02/050";13;21;8;13
"Dublin City 02/050";14;27;19;8
"Dublin City 02/050";15;35;17;18
"Dublin City 02/050";16;29;13;16
"Dublin City 02/050";17;41;21;20
"Dublin City 02/050";18;24;12;12
"Dublin City 02/050";"19+";843;402;441
"Dublin City 02/050";"Total";1264;624;640
"Dublin City 02/051";0;18;7;11
"Dublin City 02/051";1;14;9;5
"Dublin City 02/051";2;13;8;5
"Dublin City 02/051";3;19;11;8
"Dublin City 02/051";4;22;14;8
"Dublin City 02/051";5;22;11;11
"Dublin City 02/051";6;18;9;9
"Dublin City 02/051";7;14;8;6
"Dublin City 02/051";8;31;11;20
"Dublin City 02/051";9;18;8;10
"Dublin City 02/051";10;34;22;12
"Dublin City 02/051";11;19;12;7
"Dublin City 02/051";12;22;6;16
"Dublin City 02/051";13;35;13;22
"Dublin City 02/051";14;32;13;19
"Dublin City 02/051";15;29;16;13
"Dublin City 02/051";16;29;14;15
"Dublin City 02/051";17;39;20;19
"Dublin City 02/051";18;35;19;16
"Dublin City 02/051";"19+";818;389;429
"Dublin City 02/051";"Total";1281;620;661
"Dublin City 02/052";0;36;20;16
"Dublin City 02/052";1;26;11;15
"Dublin City 02/052";2;36;18;18
"Dublin City 02/052";3;28;17;11
"Dublin City 02/052";4;27;14;13
"Dublin City 02/052";5;29;15;14
"Dublin City 02/052";6;27;15;12
"Dublin City 02/052";7;33;18;15
"Dublin City 02/052";8;40;19;21
"Dublin City 02/052";9;27;17;10
"Dublin City 02/052";10;30;12;18
"Dublin City 02/052";11;22;9;13
"Dublin City 02/052";12;28;13;15
"Dublin City 02/052";13;29;12;17
"Dublin City 02/052";14;29;15;14
"Dublin City 02/052";15;39;20;19
"Dublin City 02/052";16;27;16;11
"Dublin City 02/052";17;34;19;15
"Dublin City 02/052";18;36;16;20
"Dublin City 02/052";"19+";1175;551;624
"Dublin City 02/052";"Total";1758;847;911
"Dublin City 02/053";0;37;19;18
"Dublin City 02/053";1;33;16;17
"Dublin City 02/053";2;35;20;15
"Dublin City 02/053";3;27;13;14
"Dublin City 02/053";4;35;21;14
"Dublin City 02/053";5;37;18;19
"Dublin City 02/053";6;53;21;32
"Dublin City 02/053";7;68;38;30
"Dublin City 02/053";8;54;35;19
"Dublin City 02/053";9;44;23;21
"Dublin City 02/053";10;42;20;22
"Dublin City 02/053";11;22;9;13
"Dublin City 02/053";12;26;16;10
"Dublin City 02/053";13;37;24;13
"Dublin City 02/053";14;31;15;16
"Dublin City 02/053";15;30;14;16
"Dublin City 02/053";16;30;14;16
"Dublin City 02/053";17;33;14;19
"Dublin City 02/053";18;26;10;16
"Dublin City 02/053";"19+";903;363;540
"Dublin City 02/053";"Total";1603;723;880
"Dublin City 02/054";0;11;5;6
"Dublin City 02/054";1;9;7;2
"Dublin City 02/054";2;7;2;5
"Dublin City 02/054";3;13;6;7
"Dublin City 02/054";4;14;7;7
"Dublin City 02/054";5;9;4;5
"Dublin City 02/054";6;15;8;7
"Dublin City 02/054";7;17;10;7
"Dublin City 02/054";8;14;9;5
"Dublin City 02/054";9;23;9;14
"Dublin City 02/054";10;6;2;4
"Dublin City 02/054";11;19;11;8
"Dublin City 02/054";12;19;7;12
"Dublin City 02/054";13;9;3;6
"Dublin City 02/054";14;16;11;5
"Dublin City 02/054";15;18;10;8
"Dublin City 02/054";16;13;6;7
"Dublin City 02/054";17;17;11;6
"Dublin City 02/054";18;22;12;10
"Dublin City 02/054";"19+";675;310;365
"Dublin City 02/054";"Total";946;450;496
"Dublin City 02/055";0;6;3;3
"Dublin City 02/055";1;7;3;4
"Dublin City 02/055";2;10;4;6
"Dublin City 02/055";3;12;8;4
"Dublin City 02/055";4;11;4;7
"Dublin City 02/055";5;11;3;8
"Dublin City 02/055";6;8;5;3
"Dublin City 02/055";7;9;5;4
"Dublin City 02/055";8;12;7;5
"Dublin City 02/055";9;13;7;6
"Dublin City 02/055";10;6;4;2
"Dublin City 02/055";11;12;3;9
"Dublin City 02/055";12;8;5;3
"Dublin City 02/055";13;8;3;5
"Dublin City 02/055";14;9;4;5
"Dublin City 02/055";15;13;5;8
"Dublin City 02/055";16;18;10;8
"Dublin City 02/055";17;9;5;4
"Dublin City 02/055";18;11;6;5
"Dublin City 02/055";"19+";640;292;348
"Dublin City 02/055";"Total";833;386;447
"Dublin City 02/056";0;13;6;7
"Dublin City 02/056";1;14;6;8
"Dublin City 02/056";2;10;6;4
"Dublin City 02/056";3;10;5;5
"Dublin City 02/056";4;12;8;4
"Dublin City 02/056";5;11;6;5
"Dublin City 02/056";6;11;3;8
"Dublin City 02/056";7;15;8;7
"Dublin City 02/056";8;11;7;4
"Dublin City 02/056";9;16;9;7
"Dublin City 02/056";10;14;5;9
"Dublin City 02/056";11;11;8;3
"Dublin City 02/056";12;12;7;5
"Dublin City 02/056";13;7;7;0
"Dublin City 02/056";14;22;12;10
"Dublin City 02/056";15;14;8;6
"Dublin City 02/056";16;11;4;7
"Dublin City 02/056";17;9;5;4
"Dublin City 02/056";18;15;7;8
"Dublin City 02/056";"19+";670;310;360
"Dublin City 02/056";"Total";908;437;471
"Dublin City 02/057";0;14;3;11
"Dublin City 02/057";1;9;4;5
"Dublin City 02/057";2;15;10;5
"Dublin City 02/057";3;13;8;5
"Dublin City 02/057";4;16;11;5
"Dublin City 02/057";5;14;6;8
"Dublin City 02/057";6;11;6;5
"Dublin City 02/057";7;9;2;7
"Dublin City 02/057";8;14;9;5
"Dublin City 02/057";9;9;5;4
"Dublin City 02/057";10;14;4;10
"Dublin City 02/057";11;11;5;6
"Dublin City 02/057";12;15;10;5
"Dublin City 02/057";13;10;4;6
"Dublin City 02/057";14;11;4;7
"Dublin City 02/057";15;9;3;6
"Dublin City 02/057";16;9;5;4
"Dublin City 02/057";17;12;5;7
"Dublin City 02/057";18;12;6;6
"Dublin City 02/057";"19+";761;386;375
"Dublin City 02/057";"Total";988;496;492
"Dublin City 02/058";0;12;4;8
"Dublin City 02/058";1;7;5;2
"Dublin City 02/058";2;7;4;3
"Dublin City 02/058";3;12;5;7
"Dublin City 02/058";4;9;7;2
"Dublin City 02/058";5;12;4;8
"Dublin City 02/058";6;14;6;8
"Dublin City 02/058";7;15;8;7
"Dublin City 02/058";8;13;8;5
"Dublin City 02/058";9;20;9;11
"Dublin City 02/058";10;13;5;8
"Dublin City 02/058";11;7;2;5
"Dublin City 02/058";12;13;5;8
"Dublin City 02/058";13;12;7;5
"Dublin City 02/058";14;6;4;2
"Dublin City 02/058";15;13;5;8
"Dublin City 02/058";16;11;5;6
"Dublin City 02/058";17;18;8;10
"Dublin City 02/058";18;12;5;7
"Dublin City 02/058";"19+";617;286;331
"Dublin City 02/058";"Total";843;392;451
"Dublin City 02/059";0;9;5;4
"Dublin City 02/059";1;10;5;5
"Dublin City 02/059";2;8;3;5
"Dublin City 02/059";3;3;2;1
"Dublin City 02/059";4;8;4;4
"Dublin City 02/059";5;11;4;7
"Dublin City 02/059";6;10;4;6
"Dublin City 02/059";7;13;8;5
"Dublin City 02/059";8;6;2;4
"Dublin City 02/059";9;6;2;4
"Dublin City 02/059";10;9;5;4
"Dublin City 02/059";11;9;5;4
"Dublin City 02/059";12;8;3;5
"Dublin City 02/059";13;11;6;5
"Dublin City 02/059";14;15;6;9
"Dublin City 02/059";15;10;6;4
"Dublin City 02/059";16;12;5;7
"Dublin City 02/059";17;13;11;2
"Dublin City 02/059";18;16;10;6
"Dublin City 02/059";"19+";778;366;412
"Dublin City 02/059";"Total";965;462;503
"Dublin City 02/060";0;13;4;9
"Dublin City 02/060";1;8;4;4
"Dublin City 02/060";2;15;8;7
"Dublin City 02/060";3;8;6;2
"Dublin City 02/060";4;9;5;4
"Dublin City 02/060";5;12;7;5
"Dublin City 02/060";6;14;7;7
"Dublin City 02/060";7;7;5;2
"Dublin City 02/060";8;15;7;8
"Dublin City 02/060";9;16;10;6
"Dublin City 02/060";10;6;4;2
"Dublin City 02/060";11;9;6;3
"Dublin City 02/060";12;7;2;5
"Dublin City 02/060";13;5;2;3
"Dublin City 02/060";14;10;6;4
"Dublin City 02/060";15;14;4;10
"Dublin City 02/060";16;10;4;6
"Dublin City 02/060";17;12;7;5
"Dublin City 02/060";18;13;9;4
"Dublin City 02/060";"19+";800;386;414
"Dublin City 02/060";"Total";1003;493;510
"Dublin City 02/061";0;6;3;3
"Dublin City 02/061";1;8;3;5
"Dublin City 02/061";2;6;6;0
"Dublin City 02/061";3;10;6;4
"Dublin City 02/061";4;7;4;3
"Dublin City 02/061";5;10;8;2
"Dublin City 02/061";6;7;5;2
"Dublin City 02/061";7;6;3;3
"Dublin City 02/061";8;10;2;8
"Dublin City 02/061";9;6;3;3
"Dublin City 02/061";10;13;9;4
"Dublin City 02/061";11;9;3;6
"Dublin City 02/061";12;10;6;4
"Dublin City 02/061";13;8;4;4
"Dublin City 02/061";14;8;4;4
"Dublin City 02/061";15;8;6;2
"Dublin City 02/061";16;10;5;5
"Dublin City 02/061";17;5;4;1
"Dublin City 02/061";18;8;4;4
"Dublin City 02/061";"19+";690;335;355
"Dublin City 02/061";"Total";845;423;422
"Dublin City 02/062";0;7;4;3
"Dublin City 02/062";1;8;2;6
"Dublin City 02/062";2;10;9;1
"Dublin City 02/062";3;11;5;6
"Dublin City 02/062";4;10;5;5
"Dublin City 02/062";5;13;6;7
"Dublin City 02/062";6;6;4;2
"Dublin City 02/062";7;9;5;4
"Dublin City 02/062";8;8;3;5
"Dublin City 02/062";9;7;5;2
"Dublin City 02/062";10;10;3;7
"Dublin City 02/062";11;5;1;4
"Dublin City 02/062";12;10;4;6
"Dublin City 02/062";13;10;2;8
"Dublin City 02/062";14;6;3;3
"Dublin City 02/062";15;13;5;8
"Dublin City 02/062";16;3;1;2
"Dublin City 02/062";17;5;2;3
"Dublin City 02/062";18;12;7;5
"Dublin City 02/062";"19+";706;337;369
"Dublin City 02/062";"Total";869;413;456
"Dublin City 02/063";0;73;43;30
"Dublin City 02/063";1;39;23;16
"Dublin City 02/063";2;28;14;14
"Dublin City 02/063";3;23;13;10
"Dublin City 02/063";4;19;12;7
"Dublin City 02/063";5;18;12;6
"Dublin City 02/063";6;14;5;9
"Dublin City 02/063";7;19;11;8
"Dublin City 02/063";8;12;6;6
"Dublin City 02/063";9;13;8;5
"Dublin City 02/063";10;16;9;7
"Dublin City 02/063";11;13;6;7
"Dublin City 02/063";12;9;5;4
"Dublin City 02/063";13;11;4;7
"Dublin City 02/063";14;12;7;5
"Dublin City 02/063";15;11;4;7
"Dublin City 02/063";16;10;6;4
"Dublin City 02/063";17;10;7;3
"Dublin City 02/063";18;7;4;3
"Dublin City 02/063";"19+";898;395;503
"Dublin City 02/063";"Total";1255;594;661
"Dublin City 02/064";0;7;5;2
"Dublin City 02/064";1;11;4;7
"Dublin City 02/064";2;12;5;7
"Dublin City 02/064";3;13;8;5
"Dublin City 02/064";4;10;4;6
"Dublin City 02/064";5;11;6;5
"Dublin City 02/064";6;12;6;6
"Dublin City 02/064";7;12;7;5
"Dublin City 02/064";8;12;6;6
"Dublin City 02/064";9;13;5;8
"Dublin City 02/064";10;13;8;5
"Dublin City 02/064";11;6;3;3
"Dublin City 02/064";12;18;5;13
"Dublin City 02/064";13;11;7;4
"Dublin City 02/064";14;17;8;9
"Dublin City 02/064";15;12;6;6
"Dublin City 02/064";16;15;10;5
"Dublin City 02/064";17;11;7;4
"Dublin City 02/064";18;8;4;4
"Dublin City 02/064";"19+";700;317;383
"Dublin City 02/064";"Total";924;431;493
"Dublin City 02/065";0;7;2;5
"Dublin City 02/065";1;9;6;3
"Dublin City 02/065";2;3;2;1
"Dublin City 02/065";3;6;2;4
"Dublin City 02/065";4;5;3;2
"Dublin City 02/065";5;7;1;6
"Dublin City 02/065";6;14;11;3
"Dublin City 02/065";7;9;1;8
"Dublin City 02/065";8;7;4;3
"Dublin City 02/065";9;9;6;3
"Dublin City 02/065";10;16;8;8
"Dublin City 02/065";11;12;7;5
"Dublin City 02/065";12;10;4;6
"Dublin City 02/065";13;6;3;3
"Dublin City 02/065";14;16;12;4
"Dublin City 02/065";15;12;8;4
"Dublin City 02/065";16;15;8;7
"Dublin City 02/065";17;10;5;5
"Dublin City 02/065";18;16;6;10
"Dublin City 02/065";"19+";734;351;383
"Dublin City 02/065";"Total";923;450;473
"Dublin City 02/066";0;3;2;1
"Dublin City 02/066";1;6;4;2
"Dublin City 02/066";2;5;4;1
"Dublin City 02/066";3;3;1;2
