"Theme 2 - 2 : Persons usually resident and present in the State on Census Night, classified by nationality, 2006";;;;;;;;
"Nationality";"Irish";"UK";"Polish";"Lithuanian";"Other EU25";"Rest of World";"Not Stated";"Total"
"Geographic Area";;;;;;;;
"Leinster";1986133;49163;35688;15245;47063;98734;27888;2259914
"Carlow County";44771;1268;1235;195;711;1061;447;49688
"001 Carlow Urban";3726;84;208;27;146;184;46;4421
"002 Graigue Urban";1246;30;65;10;51;74;14;1490
"003 Clonmore";489;25;0;0;3;5;5;527
"004 Hacketstown";965;31;28;3;11;8;14;1060
"005 Haroldstown";255;8;1;0;0;1;2;267
"006 Kineagh";300;8;0;0;0;1;0;309
"007 Rahill";547;14;1;5;2;9;7;585
"008 Rathvilly";757;28;1;0;5;4;5;800
"009 Tiknock";305;17;6;0;1;2;0;331
"010 Williamstown";248;11;2;0;4;3;3;271
"011 Agha";309;7;0;0;4;2;0;322
"012 Ballinacarrig";905;6;1;7;4;6;3;932
"013 Ballintemple";444;19;0;0;6;9;1;479
"014 Ballon";557;14;40;0;12;3;5;631
"015 Ballyellin";359;5;1;0;0;5;1;371
"016 Ballymoon";249;10;0;0;0;1;0;260
"017 Borris";894;39;19;0;1;22;7;982
"018 Burton Hall";348;9;0;0;0;8;2;367
"019 Carlow Rural";10667;337;399;97;256;460;144;12360
"020 Clogrenan";758;21;0;0;0;5;9;793
"021 Clonegall";844;33;0;0;7;4;16;904
"022 Corries";464;32;0;0;0;2;2;500
"023 Cranemore";793;18;35;0;15;9;4;874
"024 Fennagh";493;13;0;0;2;4;1;513
"025 Garryhill";555;9;0;0;3;2;7;576
"026 Grangeford";304;8;1;0;1;7;3;324
"027 Johnstown";518;4;0;0;1;2;6;531
"028 Kellistown";989;15;2;3;4;11;6;1030
"029 Kilbride";350;15;9;0;2;8;1;385
"030 Killedmond";372;14;4;0;8;5;4;407
"031 Killerrig";322;1;0;0;2;6;2;333
"032 Leighlinbridge";1356;39;14;4;11;43;13;1480
"033 Muinebeag (Bagenalstown) Rural";622;12;2;0;4;11;7;658
"034 Muinebeag (Bagenalstown) Urban";2280;49;99;14;29;24;18;2513
"035 Myshall";435;14;2;0;3;2;8;464
"036 Nurney";836;15;1;0;4;4;4;864
"037 Oldleighlin";431;10;0;0;2;1;0;444
"038 Rathanna";115;5;0;0;4;0;0;124
"039 Rathornan";351;10;0;0;0;0;4;365
"040 Rathrush";917;25;20;0;4;5;9;980
"041 Ridge";214;12;0;0;1;0;0;227
"042 Shangarry";451;12;1;0;0;7;0;471
"043 Sliguff";461;10;5;0;0;6;5;487
"044 Tankardstown";393;11;2;2;11;11;2;432
"045 Templepeter";395;5;0;0;1;5;0;406
"046 Tullowbeg";445;11;0;0;0;5;7;468
"047 Tullow Rural";446;7;16;0;8;5;6;488
"048 Tullow Urban";2334;76;249;23;68;49;33;2832
"049 Ballymurphy";239;6;0;0;1;0;2;248
"050 Coonogue";187;5;0;0;1;1;1;195
"051 Glynn";319;17;1;0;1;2;1;341
"052 Kyle";283;7;0;0;0;1;3;294
"053 Marley";298;8;0;0;0;0;3;309
"054 Tinnahinch";631;17;0;0;7;7;1;663
"Dublin City";406916;8310;10736;2637;17567;34739;10650;491555
"001 Arran Quay A";945;20;68;30;92;287;24;1466
"002 Arran Quay B";2018;47;248;46;370;803;77;3609
"003 Arran Quay C";1902;120;257;26;460;674;95;3534
"004 Arran Quay D";2701;77;83;47;152;233;52;3345
"005 Arran Quay E";2293;72;126;23;103;186;51;2854
"006 Ashtown A";6636;99;189;49;235;368;52;7628
"007 Ashtown B";2218;31;37;7;81;95;43;2512
"008 Ayrfield";5021;71;30;7;41;79;63;5312
"009 Ballybough A";2962;44;120;23;140;203;84;3576
"010 Ballybough B";1994;33;234;37;198;382;40;2918
"011 Ballygall A";2917;37;65;17;92;112;64;3304
"012 Ballygall B";1667;13;19;8;37;32;12;1788
"013 Ballygall C";3274;30;37;4;49;85;59;3538
"014 Ballygall D";2292;26;37;9;47;24;37;2472
"015 Ballymun A";1975;27;6;10;5;31;42;2096
"016 Ballymun B";3415;59;123;27;57;114;126;3921
"017 Ballymun C";5473;73;48;17;81;74;115;5881
"018 Ballymun D";3003;56;136;34;77;80;87;3473
"019 Ballymun E";1436;13;16;3;14;31;21;1534
"020 Ballymun F";2333;18;29;5;39;30;13;2467
"021 Beaumont A";2324;29;27;1;55;107;43;2586
"022 Beaumont B";4034;38;93;53;79;478;221;4996
"023 Beaumont C";2747;30;33;39;57;61;56;3023
"024 Beaumont D";2177;27;13;29;26;75;7;2354
"025 Beaumont E";1878;21;33;10;45;82;7;2076
"026 Beaumont F";3107;48;76;21;87;197;22;3558
"027 Botanic A";2686;57;44;6;78;142;35;3048
"028 Botanic B";2613;53;78;13;144;175;45;3121
"029 Botanic C";1597;28;78;26;128;164;14;2035
"030 Cabra East A";3915;91;229;62;322;545;85;5249
"031 Cabra East B";3094;37;97;12;68;146;29;3483
"032 Cabra East C";2439;54;178;46;201;268;89;3275
"033 Cabra West A";1509;10;6;0;11;10;16;1562
"034 Cabra West B";2436;17;30;1;58;29;57;2628
