"Theme 2 - 4 : Usually resident population aged one year and over by usual residence one year before Census Day, 2006";;;;;
"Usual Residence";"Same address";"Elsewhere in County";"Elsewhere in Ireland";"Outside Ireland";"Total"
"039 Vicarstown";169;6;7;0;182
"040 Arderin";204;4;2;0;210
"041 Ballybrittas";675;33;28;16;752
"042 Ballycarroll";218;12;5;4;239
"043 Ballyfin";547;17;8;0;572
"044 Borris";521;118;140;70;849
"045/046 Brisha/Cappard";291;10;2;0;303
"047 Cappalough";293;8;5;4;310
"048 Cardtown";154;0;0;4;158
"049 Castlecuffe";378;6;2;1;387
"050 Clonaslee";807;23;9;4;843
"051 Clondarrig";482;34;5;2;523
"052 Clonin";191;10;2;0;203
"053 Coolrain";248;6;3;5;262
"054 Dangans";891;51;38;9;989
"055 Emo";960;27;14;12;1013
"056 Garrymore";146;9;15;0;170
"057 Graigue";194;0;2;4;200
"058 Jamestown";372;10;10;5;397
"059 Kilcolmanbane";517;21;8;3;549
"060 Kilmullen";489;0;24;1;514
"061 Kilmurry";179;26;1;0;206
"062 Lacka";268;6;1;1;276
"063 Marymount";122;6;1;0;129
"064 Meelick";273;12;3;0;288
"065 Mountmellick Rural";929;30;15;5;979
"066 Mountmellick Urban";2446;191;115;72;2824
"067 Mountrath";1725;75;10;36;1846
"068 Nealstown";76;2;1;0;79
"069 O'More's Forest";408;12;6;5;431
"070 Portarlington South";3903;272;568;170;4913
"071 Portlaoighise (Maryborough) Rural";9109;691;507;471;10778
"072 Portlaoighise (Maryborough) Urban";2705;211;74;221;3211
"073 Rearymore";236;15;2;2;255
"074 Rosenallis";403;8;10;2;423
"075 Sallyford";459;18;23;0;500
"076 Shaen";821;22;16;5;864
"077 Tinnahinch";135;3;12;0;150
"078 Trumra";234;8;4;0;246
"079 Ballybrophy";149;8;4;0;161
"080 Borris-in-Ossory";730;21;2;24;777
"081 Clonmore";190;5;2;0;197
"082 Errill";341;11;21;0;373
"083 Kyle";232;1;9;5;247
"084 Kyle South";264;8;8;1;281
